Song_ID,Song,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Mood
26b3oVLrRUaaybJulow9kz,People,Libianca,0.573,0.422,10,-7.621,0,0.0678,0.551,1.31e-05,0.102,0.693,124.357,184791,5,sadness
3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,244360,4,sadness
3hUxzQpSfdDqwM3ZTFQY0K,august,Taylor Swift,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,261923,4,sadness
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),"Billie Eilish, Khalid",0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,200186,4,sadness
0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Bruno Mars,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,213827,4,sadness
086myS9r57YsLbJpU0TgK9,Why'd You Only Call Me When You're High?,Arctic Monkeys,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,161124,4,sadness
0otRX6Z89qKkHkQ9OqJpKt,Car's Outside,James Arthur,0.338,0.562,9,-7.181,1,0.029,0.039,0.0,0.107,0.259,149.907,248373,4,sadness
4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,198040,3,sadness
1ei3hzQmrgealgRKFxIcWn,In The Stars,Benson Boone,0.362,0.54,10,-6.031,1,0.0528,0.338,0.0,0.139,0.3,78.007,216410,3,sadness
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,Ed Sheeran,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4,sadness
5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,0.631,0.518,0,-8.771,1,0.0303,0.274,0.0,0.088,0.205,93.023,613027,4,sadness
1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,Sam Smith,0.681,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873,201000,4,sadness
5Ohxk2dO5COHF1krpoPigN,Sign of the Times,Harry Styles,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972,340707,4,sadness
3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,Billie Eilish,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4,sadness
7LVHVU3tWfcxj5aiPFEW4Q,Fix You,Coldplay,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,295533,4,sadness
45bE4HXI0AwGZXfZtMp8JR,you broke me first,Tate McRae,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,169266,4,sadness
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),"Powfu, beabadoobee",0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,173333,4,sadness
3p7XQpdt8Dr6oMXSvRZ9bg,Eyes Closed,Ed Sheeran,0.793,0.52,11,-7.457,0,0.0696,0.246,0.0,0.0878,0.309,107.014,194926,4,sadness
55Am8neGJkdj2ADaM3aw5H,Train Wreck,James Arthur,0.311,0.485,6,-5.726,0,0.0365,0.701,0.0,0.0726,0.225,77.355,208827,4,sadness
7795WJLVKJoAyVoOtCWqXN,I'm Not The Only One,Sam Smith,0.677,0.485,5,-5.795,1,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,239317,4,sadness
43zdsphuZLzwA9k4DJhU0I,when the party's over,Billie Eilish,0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,196077,4,sadness
3XVBdLihbNbxUwZosxcGuJ,If I Ain't Got You,Alicia Keys,0.609,0.444,7,-9.129,1,0.106,0.603,6.86e-06,0.104,0.166,118.402,228707,3,sadness
2BOqDYLOJBiMOXShCV1neZ,Dancing On My Own,Calum Scott,0.681,0.174,1,-8.745,1,0.0315,0.837,3.35e-05,0.0983,0.231,112.672,260285,4,sadness
52okn5MNA47tk87PeZJLEL,Let You Down,NF,0.662,0.714,5,-5.68,0,0.121,0.312,0.0,0.179,0.464,147.997,212120,4,sadness
0NlGoUyOJSuSHmngoibVAs,All I Want,Kodaline,0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376,305747,3,sadness
2ZWlPOoWh0626oTaHrnl2a,Ivy,Frank Ocean,0.575,0.386,9,-9.584,0,0.037,0.785,0.000289,0.229,0.466,116.408,249191,4,sadness
75ZvA4QfFiZvzhj2xkaWAh,I Fall Apart,Post Malone,0.556,0.538,8,-5.408,0,0.0382,0.0689,0.0,0.196,0.291,143.95,223347,4,sadness
0VhgEqMTNZwYL1ARDLLNCX,Can I Be Him,James Arthur,0.696,0.543,11,-6.164,1,0.0489,0.308,0.0,0.0939,0.479,107.969,246880,4,sadness
1TQXIltqoZ5XXyfCbAeSQQ,Dancing With Your Ghost,Sasha Alex Sloan,0.629,0.328,11,-8.284,1,0.029,0.768,2.5e-05,0.103,0.389,74.953,197732,4,sadness
5Qnrgqy1pAm9GyNQOgyVFz,Fourth of July,Sufjan Stevens,0.435,0.104,6,-22.39,0,0.0445,0.973,0.33,0.119,0.162,120.484,279316,4,sadness
4pvb0WLRcMtbPGmtejJJ6y,exile (feat. Bon Iver),"Taylor Swift, Bon Iver",0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,285634,4,sadness
6KfoDhO4XUWSbnyKjNp9c4,Maniac,Conan Gray,0.628,0.639,8,-5.46,1,0.0435,0.00162,0.0,0.354,0.493,108.045,185773,4,sadness
2RttW7RAu5nOAfq6YFvApB,Happier,Ed Sheeran,0.522,0.385,0,-7.355,1,0.0288,0.536,0.0,0.135,0.236,89.792,207520,4,sadness
69vToJ9BMbbLlFZo7k7A7B,You Are The Reason,Calum Scott,0.329,0.235,10,-7.699,1,0.0303,0.918,0.0,0.137,0.22,171.006,204326,3,sadness
0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,Lord Huron,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,208212,3,sadness
2NmsngXHeC1GQ9wWrzhOMf,illicit affairs,Taylor Swift,0.559,0.31,10,-10.445,1,0.0338,0.881,0.0,0.106,0.46,119.845,190898,4,sadness
60iSKGrGazRzICtMjADNSM,Hold Me While You Wait,Lewis Capaldi,0.688,0.53,11,-5.507,1,0.0333,0.443,0.0,0.0995,0.162,106.958,205687,4,sadness
50Td3qilgs8BLtv8mHyT1t,Control,Zoe Wees,0.599,0.465,4,-4.95,1,0.0314,0.643,1.57e-06,0.149,0.0678,113.82,230880,4,sadness
5yVIlYEHZxQVLyInCdldoS,Impossible,James Arthur,0.376,0.695,0,-4.782,0,0.0933,0.135,0.0,0.11,0.302,169.533,209440,4,sadness
2YlZnw2ikdb837oKMKjBkW,Like I'm Gonna Lose You (feat. John Legend),"Meghan Trainor, John Legend",0.63,0.53,0,-7.259,1,0.0434,0.4,0.0,0.177,0.417,108.038,225053,3,sadness
73SpzrcaHk0RQPFP73vqVR,No Time To Die,Billie Eilish,0.38,0.219,4,-13.273,0,0.0358,0.917,0.0104,0.0827,0.0517,73.537,242265,4,sadness
7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)","gnash, Olivia O'Brien",0.492,0.275,6,-13.4,0,0.3,0.687,0.0,0.101,0.18,92.6,251034,4,sadness
0Qr61NXlyAeQaADO5xn3rI,Cry,Cigarettes After Sex,0.409,0.399,7,-10.456,1,0.0275,0.763,0.654,0.112,0.161,142.823,256800,4,sadness
7dZ1Odmx9jWIweQSatnRqo,Million Reasons,Lady Gaga,0.666,0.423,0,-8.012,1,0.043,0.494,0.0,0.106,0.154,129.89,205280,4,sadness
2Kqw2ECnErSCU9bxPSVgGx,Bigger Person,Lauren Spencer Smith,0.503,0.358,7,-8.158,1,0.0537,0.401,0.0,0.158,0.179,105.121,161367,4,sadness
2afCBiru10AFckfOa49wIa,You & I,One Direction,0.574,0.329,1,-6.829,1,0.0274,0.22,0.0,0.0986,0.356,130.993,237933,4,sadness
28a0aMV1OKoyNiCJuNsWrY,That’s Not How This Works (feat. Dan + Shay),"Charlie Puth, Dan + Shay",0.584,0.576,9,-4.557,1,0.0519,0.507,0.0,0.212,0.432,170.026,165620,4,sadness
1ugQtcwmKOXvKAYzhjncmv,Half A Man,Dean Lewis,0.507,0.204,0,-11.575,1,0.0504,0.855,0.0,0.143,0.343,77.765,179120,4,sadness
0tMSssfxAL2oV8Vri0mFHE,listen before i go,Billie Eilish,0.319,0.0561,0,-23.023,1,0.045,0.935,0.00384,0.388,0.082,79.764,242652,3,sadness
6qBFSepqLCuh5tehehc1bd,Like I Want You,Giveon,0.678,0.355,10,-7.757,0,0.0627,0.759,7.06e-05,0.114,0.438,119.772,260776,3,sadness
1KxwZYyzWNyZSRyErj2ojT,Let Her Go,Passenger,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.243,74.897,252733,4,sadness
